texto,clase_bloque
SON: UN MIL SETECIENTOS DOS Y 17/100 SOLES,BLOQUE_MONEDA
Otros Cargos :,OTROS
S/0.00,OTROS
Otros Tributos:,OTROS
S/0.00,OTROS
Monto de .,OTROS
S/ 0.00,OTROS
redondeo*,OTROS
Importe Total:,OTROS
"S/1,702.17",BLOQUE_MONTOS
Informaciön de la detracción,OTROS
Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el Gobierno,OTROS
Leyenda:,OTROS
Central,OTROS
Bien o Servicio:,OTROS
019Arrendamiento de bienes muebles e inmuebles,OTROS
Medio Pago:,OTROS
001 Depósito en cuenta,BLOQUE_COMPROBANTE
Nro. Cta. Banco de la,OTROS
00046197445,OTROS
Porcentaje de detracción:/ 10.00 Monto detraccion: S/ 170.00,OTROS
Nacion:,OTROS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SuNAT. Puede verificaria utilizando",OTROS
su clave SOl.,OTROS
1 de 1,OTROS
"13/08/2025,18:51",BLOQUE_FECHA
--- Página 1 ---,OTROS
"20/3/26, 14:10",OTROS
..: Factura Electronica - Impresion ::.,BLOQUE_COMPROBANTE
IDELSI,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
IDELSI SOLUCIONES S.A.C.,BLOQUE_EMISOR
RUC: 20611758988,BLOQUE_EMISOR
AV. CARLOS IZAGUIRRE URB. SAN ANTONIO MZA. B LOTE. 05,OTROS
E001-156,BLOQUE_COMPROBANTE
SAN MARTIN DE PORRES - LIMA - LIMA,OTROS
Fecha de Emisión,OTROS
: 20/03/2026,BLOQUE_FECHA
Forma de pago: Crédito,OTROS
ASOCIACION AUTOMOTRIZ DEL,BLOQUE_RECEPTOR
Sefor(es),OTROS
: PERU,OTROS
RUC,OTROS
: 20101973922,BLOQUE_RECEPTOR
AV. JORGE BASADRE GROHMANN,OTROS
Dirección del Receptor,OTROS
. 157 URB. FUNDO SAN ISIDRO,OTROS
de la factura,OTROS
: 7MO PISO LIMA LIMA SAN,OTROS
ISIDRO,OTROS
AV. CARLOS IZAGUIRRE - URB.,OTROS
Establecimiento del,OTROS
. SAN ANTONIO MZA. B LOTE. 05,OTROS
Emisor,OTROS
: LIMA-LIMA-SAN MARTIN DE,OTROS
PORRES,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
Observación,OTROS
CTA CORRIENTE BCP SOLES,BLOQUE_MONEDA
1911714286019,OTROS
Cantidad Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario ICBPER,OTROS
1.00,OTROS
UNIDAD,OTROS
ACTUALIZACIóN DEL PLANO DE DISTRIBUCIóN SEGUN PLANO,OTROS
1355.93,BLOQUE_MONTOS
0.00,OTROS
LOCAL ANTERIOR. EL PLANO SERA FIRMADO POR COLEGIADO,OTROS
CORRESPONDIENTE,OTROS
Sub Total,OTROS
"S/ 1,355.93",BLOQUE_MONTOS
Ventas,OTROS
Valor de Venta de,OTROS
S/ 0.00,OTROS
Anticipos :,OTROS
S/ 0.00,OTROS
Operaciones Gratuitas,OTROS
Descuentos,OTROS
S/ 0.00,OTROS
Valor Venta,OTROS
"S/ 1,355.93",BLOQUE_MONTOS
ISC,OTROS
S/ 0.00,OTROS
IGV :,OTROS
S/ 244.07,BLOQUE_MONTOS
ICBPER :,OTROS
S/ 0.00,OTROS
SON: UN MIL SEISCIENTOS Y 00/100 SOLES,BLOQUE_MONEDA
Otros Cargos :,OTROS
S/ 0.00,OTROS
Orden de Compra : 26030005,OTROS
Otros Tributos,OTROS
S/ 0.00,OTROS
Monto de,OTROS
S/ 0.00,OTROS
redondeo,OTROS
Importe Total :,OTROS
"S/ 1,600.00",BLOQUE_MONTOS
Información de la detracción,OTROS
Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el,OTROS
Leyenda:,OTROS
Gobierno Central,OTROS
Bien o Servicio:,OTROS
022 Otros servicios empresariales,OTROS
Medio Pago:,OTROS
001 Depósito en cuenta,BLOQUE_COMPROBANTE
Nro. Cta. Banco de la,OTROS
Porcentaje de,OTROS
00074252885,OTROS
detracción:,OTROS
12.00 Monto detracción: S/ 192.00,OTROS
Nacion:,OTROS
Información del crédito,OTROS
:,OTROS
Monto neto pendiente de pago,OTROS
:,OTROS
"S/ 1,408.00",OTROS
Total de Cuotas,OTROS
No Cuota Fec. Venc.,OTROS
Monto,OTROS
No Cuota Fec. Venc. Monto,OTROS
No Cuota Fec. Venc. Monto,OTROS
1,OTROS
"03/04/2026 1,408.00",BLOQUE_FECHA
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de suNAT. Puede verificarla utilizando su clave",OTROS
SOL.,OTROS
https://w w 1.sunat.gob.pe/ol-ti-itemisionfactura/emitir.do?action=imprimirComprobante&preventCache=1774033828722,OTROS
1/1,OTROS
--- Página 1 ---,OTROS
PEREZ MALPICA FLOR NORA,BLOQUE_EMISOR
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
AV.28DEJULIO2560 C.C.GUIZADO HERMANOS INT.118 TIENDA118,OTROS
RUC: 10074428440,BLOQUE_EMISOR
1ER PISO DENTRO DEL C.COMERC,OTROS
E001-223,BLOQUE_COMPROBANTE
LA VICTORIA-LIMA-LIMA,OTROS
Fecha de Emision,OTROS
27/02/2026,BLOQUE_FECHA
Forma de pago: Contado,OTROS
Senor(es),OTROS
GUTIERREZ ORTEGA KELLY,BLOQUE_RECEPTOR
SHARON,OTROS
RUC,OTROS
10704341496,BLOQUE_RECEPTOR
JR.HUMBOLDT1501INT.4STAND4,OTROS
Direccion del Cliente,OTROS
:GALERIA RIVASPLATALIMA-LIMA-,OTROS
LA VICTORIA,OTROS
:SOLES,BLOQUE_MONEDA
Observacion,OTROS
Cantidad,OTROS
Unidad Medida,OTROS
Descripclon,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
24.00,OTROS
UNIDAD,OTROS
POLOS,OTROS
10.17,OTROS
0.00,OTROS
Sub Total Ventas :,OTROS
S/244.08,BLOQUE_MONTOS
Anticipos,OTROS
$/0.00,OTROS
Valor de Venta de Operaciones Gratuitas : S/0.00,OTROS
Descuentos,OTROS
S/ 0.00,OTROS
Valor Venta,OTROS
S/244.08,BLOQUE_MONTOS
ISC,OTROS
S/0.00,OTROS
IGV,OTROS
SON: DOSCIENTOS OCHENTA Y OCHO Y 01/100 SOLES,BLOQUE_MONEDA
S/43.93,BLOQUE_MONTOS
ICBPER,OTROS
S/0.00,OTROS
Otros Cargos :,OTROS
to,OTROS
S/ 0.00,OTROS
Otros Tributos,OTROS
S/0.00,OTROS
03,OTROS
Monto de redondeo :,OTROS
S/0.00,OTROS
Importe Total:,OTROS
S/ 288.01,BLOQUE_MONTOS
verificarla utilizando su clave SOL,OTROS
Escaneado con CamScanner,OTROS
--- Página 1 ---,OTROS
Factura Electronica-Impresion ::.,OTROS
MARVICA S.A.,BLOQUE_EMISOR
FACTURA ELECTRóNICA,BLOQUE_COMPROBANTE
RUC: 20130580832,BLOQUE_EMISOR
CAL. MANUEL HERRERA 147 URB. VISTA ALEGRE,OTROS
E001-1554,BLOQUE_COMPROBANTE
SANTIAGO DE SURCO - LIMA - LIMA,OTROS
Fecha de Emisión : 16/09/2025,BLOQUE_FECHA
Forma de pago : Contado,OTROS
Senor(es),OTROS
GUTIERREZ JESUS VICTOR,BLOQUE_RECEPTOR
: FLAVIO,OTROS
RUC,OTROS
: 10074315645,BLOQUE_RECEPTOR
---- PROLONG.HUANUCO 1501,OTROS
Direccion del,OTROS
Cliente,OTROS
: 2DO.PISO LIMA-LIMA-LA,OTROS
VICTORIA,OTROS
Tipo de Moneda,OTROS
: SOLES,BLOQUE_MONEDA
Observación,OTROS
:,OTROS
Unidad,OTROS
Cantidad,OTROS
Descripción,OTROS
Medida,OTROS
Valor Unitario,OTROS
1.00,OTROS
UNIDAD,OTROS
"ALQUILER DE LOCAL,SITO PROLG.HUANUCO 1501 LA VICTORIA LIMA",OTROS
847.457,OTROS
CORRESPONDIENTE A SETIEMBRE,OTROS
Sub Total,OTROS
S/ 847.46,BLOQUE_MONTOS
Ventas,OTROS
Anticipos :,OTROS
s/ 0.00,OTROS
Descuentos :,OTROS
S/ 0.00,OTROS
Valor de Venta de Operaciones Gratuitas :,OTROS
S/ 0.00,OTROS
Valor Venta :,OTROS
S/ 847.46,BLOQUE_MONTOS
ISC :,OTROS
S/ 0.00,OTROS
IGV :,OTROS
S/ 152.54,BLOQUE_MONTOS
SON: UN MIL Y 00/100 SOLES,BLOQUE_MONEDA
Otros Cargos :,OTROS
S/ 0.00,OTROS
S/ 0.00,OTROS
Monto de .,OTROS
S/ 0.00,OTROS
redondeo,OTROS
Importe Total :,OTROS
"S/1,000.00",BLOQUE_MONTOS
Información de la detracción,OTROS
Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el Gobierno,OTROS
Leyenda:,OTROS
Central,OTROS
Bien o Servicio:,OTROS
019 Arrendamiento de bienes muebles e inmuebles,OTROS
Medio Pago:,OTROS
001 Depósito en cuenta,BLOQUE_COMPROBANTE
Nro. Cta. Banco de la,OTROS
00068039622 Porcentaje de detracción: 10.00 Monto detracción:,OTROS
Nación:,OTROS
S/100.00,OTROS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de SuNAT. Puede verificarla utilizando",BLOQUE_COMPROBANTE
su clave SOL.,OTROS
1/1,OTROS
https:/ww1.sunat.gob.pe/ol-ti-itconscpemype/consultar.do?action=verlmprimirFactura&rowlndex=12,OTROS
Escaneado con CamScanner,OTROS
--- Página 1 ---,OTROS
SRA GAS S.A.C,BLOQUE_EMISOR
R.U.C. 20602534481,BLOQUE_EMISOR
TOMASETTO'ACHILLE,OTROS
LA CASA DEL GAS,OTROS
BRC,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
Otorelli,OTROS
STAG,OTROS
OMVL,OTROS
EmmECAS,OTROS
OLOVATO,OTROS
N° F001-0001463,BLOQUE_COMPROBANTE
VENTADEREPUESTOSGLP/GNV,OTROS
"Tanques Ciindrcos,Toroiaes",OTROS
Av.Mexco.N1252-Lina-Lma-LaVtora,OTROS
Telefono432-6993/Ce1:999364793-946375.607,OTROS
Correo : senoragas.in port@ gm ail.com,OTROS
'Cliente,OTROS
F&LMULTISERVICIOS SALVADORSA.C,BLOQUE_RECEPTOR
Fecha de Emision.,OTROS
13DE AGOSTO.DEL2021,OTROS
PJ.HERNANVELARDE172,OTROS
Direccion,OTROS
Tipo.de Moneda,OTROS
SOLES,BLOQUE_MONEDA
R.U.C.NO,OTROS
205159154281,BLOQUE_RECEPTOR
ITEM,OTROS
CANTIDAD,OTROS
CODIGO,OTROS
DESCRIPCION,OTROS
PRECIO,OTROS
PRECIO TOTAL,OTROS
UNITARIO,OTROS
5ELEGLPSTAGELECTROVALVULAGLPSTAG,OTROS
50.00,OTROS
1.00,BLOQUE_MONTOS
05RED3ATIK,OTROS
REDUCTORGLR 3RAATIKER,OTROS
145.00,BLOQUE_MONTOS
81220,OTROS
SONCIENTO NOVENTA Y.CINCO CON 00/100 SOLES,BLOQUE_MONEDA
OBSERVACIONES,OTROS
ub.Total,OTROS
165.2,BLOQUE_MONTOS
Otros.Cargo,OTROS
Opera,OTROS
DATO,OTROS
N.de.Proforma,OTROS
G.V.,OTROS
BBVASOLESN0011.0124-010003,BLOQUE_MONEDA
MPORTETOTAL,OTROS
032079,OTROS
BBVADOLARESN0011-0124-0100032087,OTROS
cario.N.011-124:0001000320875,OTROS
Representa,OTROS
--- Página 1 ---,OTROS
IDELSI,OTROS
IDELSI SOLUCIONESS.A.C,BLOQUE_EMISOR
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
RUC.20611758988,BLOQUE_EMISOR
CAL LOSANGELES187URB.LASVEGAS,OTROS
COMAS LIMA-LIMA,OTROS
E001-63,BLOQUE_COMPROBANTE
Fecha de Emision,OTROS
23/10/2024,BLOQUE_FECHA
Forma de pago. Credito.,OTROS
Senor(es),OTROS
FRIOAEREOASOCIACION CIVIL,BLOQUE_RECEPTOR
RUC.,OTROS
AV.ELDERBY254URB.ELDERBY,OTROS
Direccion del Receptor de la factura,OTROS
DEM0NTERRICOINT.1404LIMA,OTROS
LIMA SANTIAGODE SURCO,OTROS
AV.ELDERBY254URB.EL DERBY,OTROS
Direccion del Cliente,OTROS
DE MONTERRICOINT.1404LIMA,OTROS
LIMA-SANTIAGODESURCOA,OTROS
Tipo de Moneda,OTROS
observaciont,OTROS
CTACTEBCP 1911714286019,OTROS
Cantidad:,OTROS
Descripción.,OTROS
Valor.Unitario,OTROS
ICBPER,OTROS
1.00,OTROS
MANTENIMIENTOPREVENTIVODELGRUPO,OTROS
2163.00,BLOQUE_COMPROBANTE
0.00,OTROS
ELECTROGENO DE LA SALA E MAQUINAS1.,OTROS
1.00,OTROS
UNIDAD,OTROS
MANTENIMIENTOPREVENTIVODEL GRUPO,OTROS
2457.00,OTROS
0.00,OTROS
ELECTROGENO DE LA SALAEMAQUINAS2,OTROS
SubTotal Ventas,OTROS
S/4.620.00,OTROS
Anticipos,OTROS
Valor de Venta de Operaciones Gratuitas  S/.0.00..,OTROS
Descuentos,OTROS
S/0.00,OTROS
Valor.Venta,OTROS
S/4620.00,BLOQUE_MONTOS
TISC,OTROS
S/0.00,OTROS
SON:CINCO MIL CUATROCIENTOS CINCUENTA Y UNO Y 60/100.,OTROS
IGV.,OTROS
SOLES,BLOQUE_MONEDA
CICBPER,OTROS
Otros.Cargos,OTROS
Otros Tributos,OTROS
Monto.de.redondeo,OTROS
S/0.00,OTROS
Importe Total,OTROS
S/5.451.60,OTROS
Finformacion de la detraccion,OTROS
Leyendan,OTROS
Operaciön sujeta al Sistema de Pago de Obligaciones Tributaras con el Gobierno Central,OTROS
Bien.o.Servicio.,OTROS
Medio depago,OTROS
001 Deposito.en.cuenta,BLOQUE_COMPROBANTE
Nro Cta Banco de la Nacion.,OTROS
00074252885,OTROS
.Porcentaje.de.detraccion,OTROS
12:00,OTROS
Monto.detraccion,OTROS
S1654.00,OTROS
Informacion.delcredito,OTROS
Monto neto pendienite de pago,OTROS
SI4.797.60,OTROS
Total de Cuotass,OTROS
NCuota Fec.Venc.,OTROS
Monto,OTROS
NCuota,OTROS
Fec.Venc.,OTROS
Monto,OTROS
NCuota Fec.Venc.,OTROS
Monto,OTROS
106/11/2024,OTROS
4.797.60,OTROS
Esta es una representación impresa de la factura electronica. generada en el Sistema de sUNAT. Puede,BLOQUE_COMPROBANTE
verificarla utilizando.su clave Sol,OTROS
--- Página 1 ---,OTROS
IDELSI,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
IDELSISOLUCIONESS.A.C,BLOQUE_EMISOR
RUC20611758988,BLOQUE_EMISOR
AV.CARLOSIZAGUIRRE.URB.SANANTONIO.MZA.B.LOTE.O5,OTROS
E001-69,BLOQUE_COMPROBANTE
Fecha.de.Emision,OTROS
05/11/2024,BLOQUE_FECHA
Forma de.pago.Contado,OTROS
TURISMO.INTERNACIONAL,OTROS
Senor(es),OTROS
PALOMINO SOCIEDADANONIMA,OTROS
CERRADATURISMO.,OTROS
INTERNACIONAL PALOMINO S.A.C,OTROS
RUGI,OTROS
20515659324,BLOQUE_RECEPTOR
AV.NICOLASARRIOLA910URB.,OTROS
SANTA CATALINA906-4TO.PISO,OTROS
Direccion del Cliente,OTROS
INTERIORALIMA-LIMA-LA,OTROS
VICTORIA,OTROS
Tipode Moneda,OTROS
SOLESS,BLOQUE_MONEDA
CTA CTE SOLES BCP,BLOQUE_MONEDA
Observación,OTROS
1911714286019,OTROS
Cantidad:,OTROS
UnidadMedida,OTROS
Descripcion.,OTROS
Valor Unitario,OTROS
ICBPER,OTROS
"""UNIDADY",OTROS
SERVICIO.DEFABRICACIONDEMURO.PARAEL'MOTOR,OTROS
600.00,BLOQUE_MONTOS
ELECTRICO,OTROS
Sub'Total-Ventas,OTROS
S600:00,OTROS
"""Anticipos",OTROS
Descuentos,OTROS
S/0.00,OTROS
Valorde Venta de Operaciones.Gratuitas.,OTROS
S/0.00,OTROS
ValorVenta,OTROS
S/600:00,OTROS
ISG,OTROS
S7.0.00,OTROS
IGV,OTROS
S/10800,OTROS
SON:SETECIENTOS.OCHO-Y00/100SOLES,BLOQUE_MONEDA
ICBPER,OTROS
S/:0.00,OTROS
Otros.Cargos,OTROS
S/0.00,OTROS
Otros Tributos,OTROS
S/0.00,OTROS
Monto deredondeo,OTROS
S/0:00,OTROS
Importe-Total,OTROS
S/708.00,BLOQUE_MONTOS
Informacion.deladetracción,OTROS
Leyendass,OTROS
Bien.0Servicio,OTROS
030.Contratosde.construccion,OTROS
Medio de pago.,OTROS
001 Depösito en cuenta,BLOQUE_COMPROBANTE
Nro. Cla Banco de la Nacion,OTROS
00074252885Porcentaje.dedetraccion,OTROS
4.00,OTROS
-Monto.detraccion.w,OTROS
S/:28.00,OTROS
Esta es una representación impresa de la factura electronica.generadaen el Sistema de SuNATPuede,BLOQUE_COMPROBANTE
verificarla.utilizando.su.claveSOL,OTROS
--- Página 1 ---,OTROS
FACTURAELECTRONICA,BLOQUE_COMPROBANTE
IDELSI,OTROS
RUC.20611758988,BLOQUE_EMISOR
IDELSI SOLUCIONES S.A.C.,BLOQUE_EMISOR
AV.CARLOS.IZAGUIRREURB-SAN ANTONIOMZA.BLOTE.05,OTROS
E001-70,BLOQUE_COMPROBANTE
SANMARTIN DEPORRES-LIMA-LIMA,OTROS
Forma de pago Contado.,OTROS
Fecha de Emision,OTROS
05/11/2024,BLOQUE_FECHA
TURISMO INTERNACIONAL,OTROS
PALOMINO SOCIEDAD ANONIMA,OTROS
Senor(es).,OTROS
CERRADATURISMO,OTROS
INTERNACIONALPALOMINO S.A.C,OTROS
RUC,OTROS
20515659324,BLOQUE_RECEPTOR
AV.NICOLASARRIOLA 910URB.,OTROS
SANTACATALINA9064TOPISO,OTROS
Direccion del Cliente,OTROS
INTERIORALIMA-LIMA-LAUC,OTROS
VICTORIA.,OTROS
DOLARAMERICANO,BLOQUE_MONEDA
Tipo de Moneda,OTROS
CTA CTE DOLARESBCP,OTROS
"Observacion,",OTROS
1917086626188,BLOQUE_COMPROBANTE
Valor.Unitario...,OTROS
ICBPER,OTROS
UnidadMedida,OTROS
Descripción,OTROS
.Cantidad,OTROS
240.00,BLOQUE_MONTOS
0.00,BLOQUE_MONTOS
subTotal Ventas,OTROS
"""Anticipos",OTROS
$0.00,OTROS
$0.00,OTROS
Descuentos,OTROS
alor de Venta de Operaciones Gratuitas,OTROS
$240:00,OTROS
Valor-Venta,OTROS
$0.00,OTROS
TISC,OTROS
IGV,OTROS
$.43.20.,BLOQUE_MONTOS
$0:00,OTROS
SON:DOSCIENTOS.OCHENTA.Y.TRES Y 20/100DOLARAMERICANO,BLOQUE_MONEDA
ICBPER,OTROS
$0.00,OTROS
Otros Cargos,OTROS
Otros Tributos,OTROS
$0.00,OTROS
Montode.redondeo,OTROS
Importe.Total,OTROS
"Esta es una representacion impresa de la factura electrónica, generada en el Sistema de SUNAT. Puede",OTROS
verificarla utilizando su clave SOL,OTROS
--- Página 1 ---,OTROS
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
MANGUINDUSTRIA & CONEXIONES E.I.R.L.,BLOQUE_EMISOR
RUC: 20604615926,BLOQUE_EMISOR
AV REPUBLICA DE ARGENTINA 327 INT. C1 2 URB. LIMA INDUSTRIAL,OTROS
E001-4123,BLOQUE_COMPROBANTE
LIMA -LIMA -LIMA,OTROS
Fecha de Vencimiento,OTROS
Fecha de Emision.,OTROS
19/08/2021,BLOQUE_FECHA
F.&L MULTISERVICIOS,OTROS
(sa)eeeas,OTROS
SALVADOR S.A.C.,OTROS
20515915428,BLOQUE_RECEPTOR
RUC,OTROS
PJ. HERNAN VELARDE 172 -,OTROS
Dirección del Clien,OTROS
CERCADO.DELIMAINT1OZ,OTROS
LIMA-LIMALIMA,OTROS
Tipo de Moneda,OTROS
.SOLES.,BLOQUE_MONEDA
Observaciön,OTROS
Valor Unitario ICBPER.,OTROS
Cantidad Unidad Medida,OTROS
Descripción.,OTROS
1.00 UNIDAD,OTROS
TRAMO DE MANGUERA TRANSPARENTE ALAMBRADAT,OTROS
0.00,OTROS
Sub Total,OTROS
S/ 22.03,BLOQUE_MONTOS
Ventas,OTROS
sodipnus,OTROS
51.0.00,OTROS
$/0.00,OTROS
Operaciones Gratuitas,OTROS
Descuentos,OTROS
Valor Venta,OTROS
HISC,OTROS
IGV,OTROS
